REPORTING_RANGE,COURSE_OFFERING_SEMESTER,INSTRUCTOR,PRIMARY_INSTRUCTOR,CRN,SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,COURSE_TITLE_SHORT,COURSE_TITLE_LONG,COURSE_COLLEGE,COURSE_COLLEGE_DESC,STUDENT_NAME,STUDENT_ID,STUDENT_COLLEGE,STUDENT_COLLEGE_DESC,STUDENT_CLASSIFICATION_DESC,MAJOR_DESC,REGISTRATION_STATUS_DESC,FINAL_GRADE
Fall 2018 - Fall 2023,Fall 2020,A,Y,40961,PSYC,2310,4,LIFESPAN DEVELOPMENT,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Admin Registered,A+
Fall 2018 - Fall 2023,Fall 2020,A,Y,40965,PSYC,2317,2,STATISTICS,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2020,B,Y,40971,PSYC,2321,3,BIOPSYCHOLOGY,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2020,B,Y,40977,PSYC,3319,2,SOCIAL PSYCHOLOGY,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2020,C,Y,40982,PSYC,3352,2,ANIMAL BEHAVIOR,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Admin Registered,A+
Fall 2018 - Fall 2023,Spring 2021,C,Y,60154,PSYC,3438,4,RESEARCH METHODS,,BS,School of Behavior-Social Sci,A,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,C,Y,60157,PSYC,4341,2,ABNORMAL PSYCHOLOGY,,BS,School of Behavior-Social Sci,B,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,D,Y,60315,WRIT,2302,10,WRITING & RHETORIC II,,HM,School of Arts and Humanities,B,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Web Registered,A-
Fall 2018 - Fall 2023,Spring 2021,E,Y,60576,BIOL,2334,2,MOLECULAR GENETICS,,NS,School of Natural Sciences,B,1271462,BS,School of Behavior-Social Sci,Junior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2021,F,Y,40225,PSYC,2326,2,CHEMICAL DEPENDENCY ISSUES,,BS,School of Behavior-Social Sci,B,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A+
Fall 2018 - Fall 2023,Fall 2021,G,Y,40245,PSYC,4343,1,LEARNING & COGNITION,,BS,School of Behavior-Social Sci,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2021,G,Y,40810,PHIL,3311,1,MEDICAL ETHICS,,HM,School of Arts and Humanities,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2021,H,Y,40296,BIOL,1107,10,GENERAL BIOLOGY I LAB,,NS,School of Natural Sciences,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2021,I,Y,40319,BIOL,2135,1,HUMAN PHYSIOLOGY LAB,,NS,School of Natural Sciences,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2021,J,Y,40328,BIOL,2335,2,HUMAN PHYSIOLOGY,,NS,School of Natural Sciences,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Spring 2022,K,Y,60489,GEOG,1303,1,WORLD GEOGRAPHY,,BS,School of Behavior-Social Sci,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A+
Fall 2018 - Fall 2023,Spring 2022,K,Y,61155,PSYC,3356,1,COUNSEL/TREAT SUBSTANCE DISORD,,BS,School of Behavior-Social Sci,C,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Admin Registered,A
